,toybin0000
1289,0.343889
1290,0.366819
1291,0.402582
1292,0.533234
1293,0.496538
1294,0.508574
1295,0.546901
1296,0.578351
1297,0.376369
1298,0.486588
1299,0.273993
1300,0.273993
1301,0.15186
1302,0.188211
1303,0.26583
1304,0.277159
1305,0.456703
1306,0.439647
1307,0.586072
1308,0.468837
1309,0.425276
1310,0.619088
1311,0.613634
1312,0.439581
1313,0.398529
1314,0.304435
1315,0.324363
1316,0.395193
1317,0.400892
1318,0.540459
1319,0.26583
1320,0.551542
1321,0.512756
1322,0.505598
1323,0.487217
1324,0.511422
1325,0.500103
1326,0.472219
1327,0.374095
1328,0.474167
1329,0.422986
1330,0.546893
1331,0.211576
1332,0.632431
1333,0.669234
1334,0.431827
1335,0.315343
1336,0.306174
1337,0.391058
1338,0.380674
1339,0.400673
1340,0.537224
1341,0.367609
1342,0.471271
1343,0.507894
1344,0.489646
1345,0.489646
1346,0.402565
1347,0.38153
1348,0.275227
1349,0.32624
1350,0.358006
1351,0.385417
1352,0.389872
1353,0.388847
1354,0.484036
1355,0.344158
1356,0.447564
1357,0.225464
1358,0.298189
1359,0.315091
1360,0.311732
1361,0.485915
1362,0.499431
1363,0.517463
1364,0.428167
1365,0.431676
1366,0.314733
1367,0.384395
1368,0.512112
1369,0.515985
1370,0.405292
1371,0.380877
1372,0.461168
1373,0.37691
1374,0.425138
1375,0.26458
1376,0.468623
1377,0.376954
1378,0.384365
1379,0.42051
1380,0.51082
1381,0.519292
1382,0.381168
1383,0.515415
1384,0.509305
1385,0.268506
1386,0.407644
1387,0.460003
1388,0.404277
1389,0.543106
1390,0.544094
1391,0.370114
1392,0.370778
1393,0.399238
1394,0.407505
1395,0.391712
1396,0.449548
1397,0.304564
1398,0.445058
1399,0.410091
1400,0.402526
1401,0.36709
1402,0.242468
1403,0.242468
1404,0.553408
1405,0.529828
1406,0.553945
1407,0.498001
1408,0.483229
1409,0.326079
1410,0.328191
1411,0.452066
1412,0.283595
1413,0.400752
1414,0.395876
1415,0.31511
1416,0.472572
1417,0.483294
1418,0.487262
1419,0.370625
1420,0.507389
1421,0.164516
1422,0.17245
1423,0.195463
1424,0.275775
1425,0.258141
1426,0.278811
1427,0.562072
1428,0.588992
1429,0.42398
1430,0.580752
1431,0.469187
1432,0.493426
1433,0.345533
1434,0.29722
1435,0.306009
1436,0.432208
1437,0.408126
1438,0.266507
1439,0.258764
1440,0.258764
1441,0.319696
1442,0.486975
1443,0.536687
1444,0.450019
1445,0.316992
1446,0.293036
1447,0.433683
1448,0.364402
1449,0.496111
1450,0.391225
1451,0.475286
1452,0.352945
1453,0.431669
1454,0.371734
1455,0.371734
1456,0.502647
1457,0.318902
1458,0.330275
1459,0.398374
1460,0.415961
1461,0.403054
1462,0.366985
1463,0.466264
1464,0.375511
1465,0.458922
1466,0.349654
1467,0.492026
1468,0.48949
1469,0.49022
1470,0.48541
1471,0.536084
1472,0.50011
1473,0.299641
1474,0.481722
1475,0.28749
1476,0.355182
1477,0.353868
1478,0.351947
1479,0.33432
1480,0.445036
1481,0.354388
1482,0.508743
1483,0.404476
1484,0.42041
1485,0.247464
1486,0.28805
1487,0.278502
1488,0.366555
1489,0.359199
1490,0.414327
1491,0.362601
1492,0.372032
1493,0.490301
1494,0.43878
1495,0.292979
1496,0.296044
1497,0.219388
1498,0.168375
1499,0.1721
1500,0.220559
1501,0.398217
1502,0.377409
1503,0.569342
1504,0.413004
1505,0.26626
1506,0.340837
1507,0.353511
1508,0.391569
1509,0.531828
1510,0.476125
1511,0.234962
1512,0.215785
1513,0.459493
1514,0.472861
1515,0.377586
1516,0.262201
1517,0.397661
1518,0.521087
1519,0.539351
1520,0.340839
1521,0.543859
1522,0.587721
1523,0.664548
1524,0.453834
1525,0.284238
1526,0.327243
1527,0.219054
1528,0.260135
1529,0.255351
1530,0.307603
1531,0.291592
1532,0.455261
1533,0.465059
1534,0.314267
1535,0.313902
1536,0.360355
1537,0.367979
1538,0.371754
1539,0.486115
1540,0.374716
1541,0.483012
1542,0.483297
1543,0.405789
1544,0.457445
1545,0.305789
1546,0.305789
1547,0.574082
1548,0.433848
1549,0.435223
1550,0.435223
1551,0.294542
1552,0.258149
1553,0.41411
1554,0.500736
1555,0.47595
1556,0.47595
1557,0.393054
1558,0.545288
1559,0.544696
1560,0.215919
1561,0.279107
1562,0.24939
1563,0.284131
1564,0.249408
1565,0.521937
1566,0.504878
1567,0.530379
1568,0.566618
1569,0.463464
1570,0.463774
1571,0.508068
1572,0.298084
1573,0.506896
1574,0.381736
1575,0.436055
1576,0.258993
1577,0.248518
1578,0.234343
1579,0.272964
1580,0.375603
1581,0.424141
1582,0.351579
1583,0.421108
1584,0.434808
1585,0.675192
1586,0.502189
1587,0.494858
