pol	phi	weight
0.34465	-62.0376	1
0.351189	131.896	-0.047619
0.346923	-110.2	1
-0.335136	-101.512	1
-0.341199	-149.186	-0.047619
0.324213	114.773	1
-0.349312	98.9016	1
0.343405	-107.002	1
0.348852	-107.002	-0.047619
0.333474	-107.002	-0.047619
-0.332019	-124.759	1
-0.354566	79.0046	1
-0.331066	13.8918	1
-0.342656	-88.2809	1
0.346923	57.362	1
0.331955	57.362	-0.047619
-0.354923	1.54946	1
-0.354566	-30.2408	-0.047619
-0.335136	-84.4279	1
-0.351468	171.203	1
0.350319	-133.905	1
0.339345	31.6777	1
0.351284	-23.0059	-0.0380952
-0.335136	-14.4892	1
0.348852	56.3829	1
-0.354923	30.2401	1
-0.346811	-27.3786	-0.047619
-0.345469	-27.3786	1
-0.341191	-47.6032	-0.047619
-0.354762	10.3485	1
0.330426	157.38	-0.0380952
-0.338205	7.69633	1
-0.354402	-40.6241	-0.047619
-0.354923	141.481	-0.047619
-0.346811	73.3744	1
0.350319	-147.933	1
0.345823	-31.3711	-0.047619
-0.344087	-160.924	-0.0380952
-0.33358	-155.277	1
-0.354876	-156.191	-0.047619
0.342099	-120.079	1
0.349647	-65.9796	-0.047619
0.327329	-65.9796	-0.047619
0.328883	74.487	-0.047619
-0.354762	-37.01	-0.047619
-0.33358	-37.01	1
0.324213	143.678	1
-0.330445	94.1114	-0.047619
0.348852	-34.477	1
0.324213	-34.477	-0.047619
-0.335136	148.286	-0.0666667
0.343779	162.889	1
0.333474	162.889	-0.047619
0.350319	-170.462	1
0.328883	88.5625	1
0.340739	-77.8526	1
-0.349312	56.6462	1
-0.339711	152.957	1
-0.336677	163.389	1
0.324213	81.2984	-0.047619
0.342099	68.775	1
0.322642	3.67588	-0.047619
-0.354923	120.66	-0.0380952
0.346923	-97.3024	1
-0.353901	128.741	-0.047619
-0.339711	128.741	1
-0.346811	53.0553	1
-0.346811	21.2094	-0.0380952
-0.341199	89.2317	-0.0714286
-0.353206	52.2926	-0.0380952
0.330426	176.752	1
0.334974	177.962	-0.0190476
0.324213	137.012	-0.0380952
-0.354923	92.3368	1
-0.346811	-99.776	1
0.324213	-80.9332	1
0.347942	-140.303	-0.047619
0.327329	-140.303	1
0.346923	-88.8724	1
-0.330445	24.5823	1
-0.342656	-177.59	-0.0285714
-0.354923	-163.384	1
-0.351468	97.3221	-0.0380952
0.330426	-163.877	-0.047619
-0.354876	60.944	-0.047619
-0.330445	60.944	1
-0.344087	-100.062	1
-0.336669	-34.3131	-0.047619
-0.353206	17.4055	1
-0.341199	-171.978	1
-0.342656	132.59	1
0.342099	4.41521	-0.047619
0.327334	4.41521	1
-0.336677	-60.0844	1
-0.332019	139.887	1
0.345823	63.7587	-0.047619
-0.330445	17.5905	1
-0.330445	69.3491	1
0.325774	124.468	1
0.348852	97.5241	1
0.339345	108.008	-0.047619
-0.346811	69.0125	1
-0.354876	22.0359	1
-0.339711	127.45	-0.047619
-0.345469	-49.3785	-0.047619
-0.345918	-106.687	1
0.33646	97.4158	1
-0.353206	94.8006	-0.047619
-0.354414	94.8006	1
-0.328419	-106.781	-0.047619
0.339281	53.2059	1
0.326104	53.2059	-0.047619
0.341852	166.654	1
0.322977	166.654	-0.047619
-0.328419	-126.925	-0.0666667
