pol	phi	weight
-0.266349	36.1705	1
0.277846	-149.689	1
0.258913	173.047	-0.065
0.264899	-6.42237	-0.065
0.298805	113.095	1
-0.298746	140.814	-0.065
0.271342	126.596	1
0.258905	126.596	-0.065
0.297211	104.354	-0.065
-0.282467	30.1499	1
-0.267834	68.1316	1
-0.295506	70.3611	1
0.290787	-126.357	-0.065
0.242586	-126.357	1
-0.295506	-137.196	-0.065
0.292395	-156.505	1
0.242586	120.001	-0.065
-0.284101	-61.7304	-0.065
0.28433	25.1527	-0.065
0.266474	25.1527	1
0.290787	-33.8936	-0.065
0.279467	-118.653	1
-0.272624	-16.9522	-0.065
-0.292257	-172.495	-0.065
-0.250187	-172.495	-0.065
0.285944	28.5826	1
-0.277548	-71.9142	-0.065
0.242586	-16.1123	-0.065
0.261933	-116.671	1
0.252417	-152.458	-0.065
-0.260116	80.7201	1
-0.295506	-160.066	-0.065
0.28433	-141.029	-0.065
0.287562	-141.029	-0.065
-0.295506	105.745	1
-0.264865	105.745	-0.065
-0.295506	-123.172	1
-0.246876	80.0527	1
-0.260116	-70.619	1
-0.267834	29.7438	1
-0.256809	-62.1525	1
0.254054	102.088	1
0.289802	5.07005	1
0.275316	5.07005	-0.065
-0.287562	-146.096	-0.065
-0.292395	-99.8458	1
-0.264899	-99.8458	-0.065
0.288201	140.489	-0.065
-0.266474	-9.38046	1
0.291406	101.188	-0.065
0.256488	-87.9107	-0.065
0.250016	-87.9107	1
-0.264899	-80.3586	1
0.294601	-134.538	1
-0.268089	145.802	1
-0.290787	178.445	1
0.250016	129.627	-0.065
-0.294005	-18.9327	-0.065
-0.28433	-18.9327	1
-0.272968	-18.9327	-0.065
0.294601	131.041	-0.065
-0.263393	44.4392	-0.065
-0.269712	19.6271	1
-0.289173	42.7744	-0.065
0.262449	115.535	1
-0.269712	-80.9949	1
-0.292395	136.819	1
-0.294005	58.6947	1
0.291406	33.8613	-0.065
0.262444	77.5491	-0.065
0.284989	-165.22	-0.065
0.284989	-52.8593	1
0.256488	-22.6092	1
0.264006	122.022	-0.065
0.240242	122.022	-0.065
0.259512	118.989	1
0.246757	24.3013	-0.065
-0.247499	-51.2289	-0.065
-0.299173	145.889	1
-0.295608	145.889	-0.065
0.253275	-160.391	-0.065
-0.257318	85.8851	-0.065
0.250016	165.086	1
-0.269712	167.089	1
-0.257318	-44.9374	1
0.256488	17.6309	-0.065
-0.290787	73.9623	-0.065
-0.274597	-43.6258	-0.065
-0.288746	169.652	1
-0.2549	-119.856	-0.065
-0.282239	-145.525	-0.065
-0.26758	-145.525	1
0.295442	179.191	1
0.274284	3.50693	1
-0.271637	148.329	-0.065
0.292206	167.08	-0.065
-0.28061	161.346	1
0.284084	-115.742	1
-0.301658	-38.7858	1
-0.258338	-38.7858	-0.065
-0.26758	-1.64672	-0.065
-0.270801	-1.64672	1
0.267788	-136.626	-0.065
-0.290371	33.1319	1
-0.261564	37.8507	1
-0.251746	73.7097	1
-0.270801	115.07	1
0.295442	86.0898	-0.065
0.277548	79.8773	-0.065
0.263303	-137.774	-0.065
-0.26758	129.33	-0.065
-0.245151	129.33	-0.065
0.263303	93.2815	-0.065
-0.296841	154.911	-0.065
-0.26758	154.911	-0.065
0.297059	-157.801	1
-0.258338	107.22	-0.065
-0.255044	-68.9383	-0.065
0.279188	-123.466	-0.065
0.277556	-123.466	-0.065
0.251948	-123.466	1
-0.30006	38.5112	1
0.287339	-174.071	1
0.24535	-5.67386	1
0.274284	-67.0941	-0.065
0.251948	-67.0941	-0.065
0.298669	51.7675	1
0.255247	-25.0732	1
-0.284559	43.8585	1
-0.277344	-167.583	1
0.284084	-11.3085	-0.065
0.260173	-45.9827	-0.065
-0.28061	-7.60698	-0.065
0.284084	104.596	1
0.295442	-137.245	-0.065
0.264788	-137.245	1
0	15.5675	-0.065
0.255247	115.849	-0.065
0.274284	-19.2951	1
0.285711	-121.266	-0.065
0.251948	-121.266	-0.065
-0.251746	100.325	-0.065
-0.263096	-125.059	1
0.258543	-102.36	1
-0.25156	-68.2212	-0.065
