,toybin0000,toybin0001,toybin0002,toybin0003,toybin0004,toybin0005,toybin0006,toybin0007,toybin0008,toybin0009
110,0.410936,0.52631,0.714328,0.59503,0.224427,0.874953,0.736515,0.558737,-0.00701145,0.271767
111,0.646407,0.256212,0.622529,0.742199,0.527915,0.395706,0.123564,0.483837,0.118148,0.30138
112,0.0627067,-0.164716,0.509611,0.362157,0.414863,0.828226,0.597991,0.487227,0.275387,0.0884722
113,0.277088,0.439982,0.747299,0.726866,0.314573,0.764243,-0.160863,0.308262,0.217082,0.31073
114,0.0611881,-0.074037,0.827062,0.28562,0.221254,0.631354,0.969144,0.375593,0.495349,0.501389
115,-0.0137654,-0.0489567,0.205124,0.401082,0.554578,0.315327,0.312634,0.588836,0.400498,0.273282
116,0.662712,0.123706,0.978662,0.758442,0.382553,0.88057,0.378995,0.800922,0.192174,-0.0452534
117,0.0120035,0.033949,0.780203,0.0537376,0.50368,0.91302,0.57965,0.71777,-0.0828392,0.830991
118,0.625945,0.176023,0.456714,0.906069,0.230315,0.334762,0.300796,0.982839,0.333644,0.544474
119,0.41165,0.179969,0.604266,0.552334,0.480665,0.598342,0.573845,0.956215,-0.141467,0.226494
120,0.333389,0.184315,0.206324,0.443531,0.359903,0.572195,0.402541,0.847969,0.158976,0.555687
121,0.339949,-0.0413321,0.799228,0.564671,0.450216,0.494258,0.481752,0.141818,0.191745,0.735987
122,0.135424,0.170679,0.727213,0.678469,0.420738,0.438755,0.839929,0.751157,-0.0686415,0.237791
123,0.463003,0.0712011,0.659754,0.30425,0.357613,0.942637,0.109096,0.979111,0.189443,0.0775714
124,0.360372,0.15845,0.794887,0.68407,0.436701,0.847158,0.622848,0.981644,-0.318092,0.625529
125,0.313285,0.0866677,0.29802,0.333583,0.451607,0.365594,0.591707,0.0983527,-0.339883,0.606521
126,0.31577,-0.0561256,0.914463,0.431767,0.817078,0.928571,0.509119,0.970335,-0.178598,0.786398
127,0.203438,0.023448,0.952153,0.569535,0.907781,0.778773,0.830501,0.557977,0.515045,-0.0397185
128,0.424824,0.170133,0.500095,0.413337,0.929182,0.443832,0.770871,0.249988,-0.475648,0.516735
129,0.114966,0.513694,0.663145,0.678501,0.788049,0.781491,0.392137,0.254772,0.632983,0.457582
130,0.507363,0.232346,0.512809,0.344353,0.132845,0.328355,0.567319,0.401865,-0.306439,0.750551
131,0.226873,0.440275,0.69597,0.710782,0.589381,0.944994,0.699633,0.509577,-0.174778,0.145062
132,0.349917,0.312863,0.460026,0.663912,0.748958,0.185094,0.691133,0.511015,0.291702,0.669252
133,0.255025,0.188258,0.781143,0.440929,0.317258,0.969903,0.650273,0.231328,0.496045,0.273789
134,0.221773,-0.128427,0.882719,0.58433,0.530381,0.964981,0.336925,0.133359,0.260838,0.544372
135,0.327563,0.162099,0.85659,0.538436,0.247301,0.909699,0.907595,0.741458,0.21166,0.816903
136,0.299789,0.301586,0.76386,0.910877,0.53179,0.698329,0.908503,0.15674,-0.435777,0.630833
137,0.277367,-0.025837,0.830051,0.308054,0.438085,0.540292,0.172113,0.304571,-0.366031,0.119331
138,0.170149,0.232711,0.582535,0.829546,0.646556,0.722233,0.374417,0.65967,0.433509,0.29879
139,0.630906,-0.2574,0.532052,0.97461,0.489065,0.519284,0.386799,0.363111,0.350641,0.470558
140,0.391079,0.446442,0.633031,0.931225,0.354464,0.711474,0.480091,0.463107,-0.134304,0.366267
141,0.145469,-0.361072,0.908932,0.799981,0.672734,0.847374,0.317249,0.380351,0.207067,0.350065
142,0.524368,0.548356,0.80176,0.750484,0.580455,0.392379,0.51138,0.523945,-0.164558,0.400291
143,0.0569101,-0.313721,0.723848,0.706715,-0.06939,0.866016,0.982305,0.466969,0.245129,0.613094
144,0.0957645,0.423144,0.94375,0.578844,0.755527,0.852649,0.98169,0.366793,-0.163903,0.0934682
145,0.646991,0.0422771,0.0243739,0.703916,0.747877,0.928589,0.855394,0.584459,0.319476,0.837723
146,0.24034,0.221626,0.70377,0.386175,0.300241,0.892968,0.744797,0.169107,0.0529449,0.445664
147,0.304005,0.239857,0.571517,0.617681,0.640425,0.934158,0.851889,0.481768,0.0537952,0.140975
148,0.33799,0.0297342,0.687099,0.653189,0.848862,0.912129,0.513947,0.541395,-0.348498,0.581609
149,0.389798,0.274263,0.317822,0.331026,0.381453,0.216147,0.368905,0.757081,-0.200197,0.252682
150,0.165286,0.281681,0.889129,0.549663,0.237216,0.828323,0.650724,0.747852,0.196507,0.684208
151,0.220644,-0.0224181,0.363212,0.77442,0.540887,0.790742,0.524076,0.77734,0.233073,0.142719
152,0.348478,0.224388,0.687547,0.498775,0.350049,0.750299,0.617977,0.589075,0.264612,0.635936
153,0.232768,-0.252688,0.579058,0.682393,0.234147,0.477354,0.285052,0.231933,0.29448,0.323559
154,0.300479,0.552316,0.969947,0.458344,0.243036,0.722474,0.524942,0.732601,-0.0949563,0.478509
