,ebin00costbin00,ebin00costbin01,ebin00costbin02,ebin00costbin03,ebin00costbin04,ebin00costbin05,ebin01costbin00,ebin01costbin01,ebin01costbin02,ebin01costbin03,ebin01costbin04,ebin01costbin05,ebin02costbin00,ebin02costbin01,ebin02costbin02,ebin02costbin03,ebin02costbin04,ebin02costbin05
96,-0.474644,-0.621204,-0.138257,-0.0425214,0.0198676,0.610712,-0.290561,-0.551313,-0.203563,0.099724,-0.390844,0.0781346,-0.124333,0.292237,0.130243,-0.932542,-0.121191,-0.889753
97,-0.660652,-0.257497,0.0836382,-0.514785,-0.368252,-0.871907,-0.593202,0.146211,-0.186387,0.322972,-0.499839,0.252267,0.469846,0.528159,0.0635321,-0.931738,0.101228,0.605392
98,-0.428346,-0.254445,-0.288133,-0.291663,0.145314,-0.377688,-0.693481,-0.487512,-0.493998,0.314296,-0.411109,0.511948,0.130756,0.416588,-0.0485403,0.30849,-0.242636,0.717646
99,-0.188807,-0.328534,0.676529,-0.25854,-0.267085,0.194829,-0.42154,-0.069251,-0.0861279,0.356334,-0.22105,0.567472,0.241886,-0.0436919,0.00487779,-0.85171,-0.0696432,0.168597
100,-0.07406,0.480618,-0.445953,-0.494384,-0.00528305,-0.279619,-0.959829,0.126953,-0.541098,0.0333918,-0.335059,0.0231769,0.050598,0.352606,-0.0134891,-0.148055,0.166016,-0.850756
101,-0.843897,-0.0387298,0.242129,-0.371971,-0.15639,0.121928,-0.779852,-0.485045,-0.465904,0.37367,-0.287828,0.0215302,0.709122,0.103969,0.0333734,-0.792781,0.370337,-0.0297439
102,-0.872759,-0.359258,-0.267755,-0.0738085,-0.264177,-0.080341,-0.927032,-0.118735,0.0105289,-0.167529,-0.248563,0.261561,0.595131,0.234057,0.0153384,-0.310154,-0.0530325,-0.146005
103,-0.293465,-0.75587,0.126784,-0.525455,-0.433091,-0.0406336,-0.828333,-0.286573,-0.0842059,0.457747,-0.497331,-0.300738,-0.254172,0.227898,-0.00921057,-0.617088,0.219798,-0.750305
104,-0.739665,0.280809,0.189371,-0.035872,0.191667,-0.310515,-0.658567,-0.124959,-0.135046,0.876518,0.148338,0.393797,-0.363408,0.832425,-0.228496,-0.474041,-0.0417009,0.594061
105,-0.532926,-0.753788,0.422127,-0.46739,-0.139747,0.265754,-0.495615,-0.109205,-0.466984,-0.242466,-0.286771,0.388358,0.244342,0.0881632,0.306156,-0.339142,0.184252,-0.929911
106,-0.833828,-0.057945,0.518899,0.25119,-0.138725,-0.259251,-0.400475,-0.139604,-0.163613,0.101991,-0.42866,-0.226197,0.68316,0.38468,-0.259322,-0.813268,-0.087194,-0.763523
