,lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,sigma,a[1],a[2],a[3],a[4],b[1],b[2],b[3],b[4],sigma_bkg,a_bkg[1],a_bkg[2],a_bkg[3],a_bkg[4],b_bkg[1],b_bkg[2],b_bkg[3],b_bkg[4]
1942,-9.47715,0.847621,0.569286,3.0,7.0,0.0,23.0021,-0.35503,0.0755321,0.0505935,-0.00605763,0.0494193,-0.119036,-0.104457,-0.183232,-0.0392879,-0.56798,0.188477,0.0577689,0.00616789,-0.155813,-0.208696,-0.0679334,0.0628519,0.0137365
1943,-4.94044,0.999494,0.569286,3.0,7.0,0.0,15.9209,-0.0773096,0.116027,-0.026889,-0.0773213,-0.0638778,-0.0444429,0.093894,-0.074257,0.105722,0.117267,-0.0457106,-0.0855167,0.0748737,-0.011734,0.0204601,-0.0701436,-0.143788,0.0240507
1944,-4.23173,0.94524,0.569286,3.0,7.0,0.0,14.4422,-0.182238,0.0266362,-0.0353114,-0.0883403,0.0494968,0.0342645,0.122014,-0.131735,-0.0414902,-0.490857,-0.0353935,-0.0117672,0.125231,-0.145122,-0.100944,-0.131149,-0.120863,-0.0855659
1945,-5.34777,0.900584,0.569286,3.0,7.0,0.0,12.3287,0.0934631,0.212543,-0.0116266,-0.0592968,-0.0311095,-0.100008,-0.0930408,-0.097876,0.127337,-0.11512,0.0883128,-0.0960656,0.156754,-0.0449,-0.0879359,-0.0351273,0.00396137,0.0736878
1946,-5.49378,0.858946,0.569286,3.0,7.0,0.0,16.267,-0.644164,0.0268045,-0.00991763,0.0539721,-0.0181329,-0.0146913,0.147268,-0.0314311,-0.135044,-0.360637,-0.0826367,0.0101965,-0.00826688,-0.0287331,-0.141527,-0.111101,0.0365126,0.0368849
1947,-4.35835,0.70647,0.569286,3.0,7.0,0.0,20.9913,0.216434,0.0452569,0.0580722,-0.127898,0.0420882,-0.157635,-0.0691388,-0.0880372,0.106342,-0.24404,0.0791799,-0.072961,0.1495,-0.182927,-0.100501,0.00369675,-0.0367014,0.00402466
1948,-2.88147,0.977068,0.569286,3.0,7.0,0.0,12.1254,-0.602144,0.0982362,-0.0123704,-0.00857182,-0.0412752,0.0382462,0.03119,-0.0514567,-0.117857,-0.199184,-0.0329273,-0.00881928,-0.0234963,0.0362013,-0.129429,-0.117845,0.00347495,0.0430597
1949,-2.72024,0.980354,0.569286,3.0,7.0,0.0,8.7998,-0.146518,0.00944828,0.0311775,-0.0659948,0.0510834,-0.144606,0.0368357,-0.119399,0.0813475,-0.247171,0.135991,-0.0246839,0.129236,-0.195986,-0.0838121,0.0115503,0.047717,0.0115923
1950,-7.92339,0.688182,0.569286,3.0,7.0,0.0,15.0366,0.200967,0.136581,0.0308893,-0.064984,0.181044,-0.0805694,0.150979,-0.0653473,0.0356402,-0.518377,0.0846497,-0.00773533,0.176245,-0.0713458,0.0587787,-0.0479974,-0.023931,0.0251071
1951,-4.84165,0.976805,0.569286,3.0,7.0,0.0,17.4751,-0.660421,0.154386,0.0589367,0.075187,0.057612,-0.122781,0.0750969,-0.0669567,-0.010518,-0.114111,0.0931011,-0.131421,0.109303,-0.0901557,-0.00669713,-0.110575,-0.041354,0.00396566
1952,-8.96774,0.733267,0.569286,3.0,7.0,0.0,19.4575,0.402122,-0.0495752,-0.0502281,-0.213457,0.010655,-0.0237828,0.0622792,-0.0741227,0.0877484,-0.478634,-0.0205911,-0.075731,0.0462086,0.011364,-0.197805,0.0278636,0.0359146,-0.0232476
1953,-4.02716,0.959003,0.569286,3.0,7.0,0.0,17.2737,-0.337902,0.0556936,0.0145108,-0.110836,-0.0488476,-0.0621124,0.0274828,-0.0594016,-0.0584269,0.134539,0.0808357,-0.0384019,0.00723095,-0.0363174,-0.0208807,0.0373081,0.0108349,-0.13848
1954,-1.76717,0.946473,0.569286,3.0,7.0,0.0,11.6297,-0.43699,0.0184514,-0.024292,-0.0512038,-0.0430974,-0.00940901,-0.0281584,-0.0427114,-0.0571932,0.060947,0.0982723,-0.0795362,0.0474717,-0.100012,-0.0345248,-0.0177043,0.0342293,-0.0846382
1955,-5.71038,0.793056,0.569286,3.0,7.0,0.0,10.863,0.108953,0.0973837,0.077776,0.0433701,-0.00838731,-0.0822578,0.0794768,-0.0834456,0.122533,-0.756162,-0.100654,-0.0480698,0.0563786,-0.0431666,-0.104025,-0.101474,-0.0433293,0.134578
1956,-6.10746,0.999343,0.569286,3.0,7.0,0.0,13.9209,-0.623776,-0.00368153,-0.0346915,-0.0205554,0.057801,-0.0409528,-0.0523427,0.0392662,-0.136651,-0.649334,0.109117,0.00879787,0.0271587,-0.127189,-0.102368,-0.0374265,0.0202831,-0.0718866
1957,-3.26199,0.885111,0.569286,3.0,7.0,0.0,15.4424,-0.619783,0.102557,-0.0623663,-0.0545181,0.0164383,-0.0741792,0.0600274,-0.0322019,0.015959,-0.024696,-0.0391211,-0.0502764,0.011781,-0.172301,-0.087248,0.0278779,-0.128179,0.0784731
1958,-6.87593,0.766969,0.569286,3.0,7.0,0.0,13.5893,-0.301776,0.0953721,-0.115969,-0.0934878,0.0255458,-0.0816787,0.166837,-0.0410167,-0.0169074,-0.631898,-0.0846648,0.00214817,0.0847649,-0.0915056,-0.0612879,0.00830736,-0.00895641,0.189538
1959,-3.99398,0.853841,0.569286,3.0,7.0,0.0,18.115,-0.235376,0.0659572,0.163092,-0.0497669,-0.0299387,0.0153017,-0.0892022,-0.0950792,0.00569411,-0.30703,0.0904235,-0.0261929,0.0666243,-0.053763,-0.0681031,-0.101622,0.0176161,-0.130249
